year,title,face_id,x,xend,y,yend,prob
1970,Love Story,0,95,211,55,209,0.99996936
1970,Love Story,1,163,259,162,287,0.99995255
1970,Airport,0,423,458,521,566,0.999998
1970,Airport,1,420,460,311,363,0.99997604
1970,Airport,2,423,458,249,295,0.99996436
1970,Airport,3,419,461,39,96,0.9999497
1970,Airport,4,419,462,450,501,0.99993324
1970,Airport,5,421,459,583,629,0.9999064
1970,Airport,6,419,461,106,160,0.9998921
1970,Airport,7,426,461,387,433,0.99984026
1970,Airport,8,423,458,181,227,0.99352044
1970,Patton,0,444,475,1306,1343,0.99987423
1970,Patton,1,505,574,418,496,0.9985045
1970,Patton,2,472,502,1296,1337,0.99717915
1970,Little Big Man,0,175,203,429,466,0.99965
1970,Little Big Man,1,304,341,404,452,0.99959415
1970,Little Big Man,2,435,462,424,463,0.9991037
1970,Tora! Tora! Tora!,0,691,744,1306,1378,0.9999924
1970,Tora! Tora! Tora!,1,432,478,1305,1368,0.9999484
1970,Tora! Tora! Tora!,2,149,198,1309,1371,0.99982136
1970,Tora! Tora! Tora!,3,784,843,1288,1370,0.99973553
1970,Tora! Tora! Tora!,4,66,110,1312,1363,0.9995328
1970,Tora! Tora! Tora!,5,254,306,1289,1363,0.9994023
1970,Tora! Tora! Tora!,6,527,584,1305,1373,0.99892944
1970,Tora! Tora! Tora!,7,609,645,1295,1344,0.99886215
1970,Tora! Tora! Tora!,8,888,937,1298,1364,0.9983847
1970,Tora! Tora! Tora!,9,341,394,1298,1362,0.9967083
1970,Joe,0,253,327,167,256,0.9995584
1970,Joe,1,231,299,442,526,0.99534875
1970,Rio Lobo,0,333,362,250,286,0.99949455
1970,Myra Breckinridge,0,433,483,457,524,0.9999988
1970,Myra Breckinridge,1,618,645,978,1013,0.9998085
1970,Myra Breckinridge,2,331,365,933,977,0.9996449
1970,Myra Breckinridge,3,418,441,941,973,0.9963995
1970,Myra Breckinridge,4,510,532,950,981,0.98678595
1970,The Boys in the Band,0,816,859,1208,1271,0.99997616
1970,The Boys in the Band,1,810,1227,313,846,0.9999502
1970,The Boys in the Band,2,151,608,195,811,0.9999267
1970,The Boys in the Band,3,701,761,1487,1562,0.99919003
1970,The Boys in the Band,4,521,592,1485,1580,0.99472636
1970,The Boys in the Band,5,499,549,1277,1340,0.9714584
1970,The Boys in the Band,6,836,893,1481,1568,0.96236914
1970,The Boys in the Band,7,659,703,1222,1280,0.9592374
1970,The Boys in the Band,8,707,753,1345,1405,0.923701
1970,The Boys in the Band,9,586,638,1404,1475,0.8817152
1970,The Boys in the Band,10,802,853,1327,1398,0.85977095
1970,Darling Lili,0,238,257,585,607,0.9018451
1970,Darling Lili,1,195,275,289,398,0.85305566
1970,Darling Lili,2,122,159,460,498,0.72650385
1970,Song of Norway,0,223,265,281,341,0.9999988
1970,Song of Norway,1,281,300,650,675,0.9999858
1970,Song of Norway,2,510,552,290,347,0.9999243
1970,Song of Norway,3,427,444,578,602,0.9997068
1970,Song of Norway,4,309,325,659,678,0.99663323
1970,Song of Norway,5,379,414,320,368,0.9954775
1970,Song of Norway,6,450,465,669,689,0.9740074
1970,Song of Norway,7,641,651,741,755,0.91257775
1970,Song of Norway,8,157,170,323,340,0.849913
1970,Song of Norway,9,463,477,637,657,0.8263878
1970,Trash,0,637,1046,239,739,0.99950016
1970,Where's Poppa?,0,124,235,1176,1327,0.9998665
1970,Where's Poppa?,1,307,443,337,513,0.9652766
1970,Cromwell,0,1065,1088,320,348,0.95958525
1970,Cromwell,1,1665,1683,2274,2296,0.89404994
1970,Cromwell,2,1455,1479,742,770,0.89087594
1970,Cromwell,3,1272,1293,1805,1831,0.77042776
1970,Threesome,0,155,210,183,256,0.9940726
1970,Threesome,1,459,525,316,385,0.85262036
1970,El condor,0,579,627,645,711,0.99855655
1970,El condor,1,333,373,600,664,0.9817461
1970,El condor,2,693,703,922,935,0.74228644
1971,Billy Jack,0,469,527,1753,1833,0.99996066
1971,Billy Jack,1,728,1147,547,1091,0.99884915
1971,Billy Jack,2,1338,1404,1110,1200,0.9977719
1971,Billy Jack,3,943,1028,1286,1391,0.9898469
1971,Billy Jack,4,1305,1334,1858,1898,0.939505
1971,Billy Jack,5,1439,1461,804,827,0.84678364
1971,Fiddler on the Roof,0,134,175,124,176,0.9974986
1971,Fiddler on the Roof,1,333,394,156,240,0.9572808
1971,Fiddler on the Roof,2,349,364,54,74,0.94425875
1971,Fiddler on the Roof,3,295,331,418,462,0.831019
1971,Fiddler on the Roof,4,396,412,58,78,0.7524178
1971,The Last Picture Show,0,525,588,131,212,0.99999607
1971,The Last Picture Show,1,632,699,130,224,0.99996305
1971,The Last Picture Show,2,101,167,129,216,0.9998733
1971,The Last Picture Show,3,207,278,127,217,0.9998722
1971,The Last Picture Show,4,412,479,131,214,0.99966943
1971,The Last Picture Show,5,314,379,127,218,0.99946564
1971,Carnal Knowledge,0,345,472,140,299,0.999395
1971,Carnal Knowledge,1,141,266,130,294,0.99735814
1971,Carnal Knowledge,2,525,624,141,273,0.9969426
1971,Carnal Knowledge,3,763,883,131,287,0.9906839
1971,The Hospital,0,356,414,148,223,0.99881953
1971,The Hospital,1,63,134,542,637,0.9985349
1971,The Hospital,2,174,231,537,625,0.9742019
1971,The Hospital,3,262,308,293,350,0.9696926
1971,Bedknobs and Broomsticks,0,519,556,1238,1288,0.99998677
1971,Bedknobs and Broomsticks,1,799,839,1035,1088,0.99992144
1971,Bedknobs and Broomsticks,2,911,953,1311,1368,0.9997626
1971,Bedknobs and Broomsticks,3,587,628,1239,1294,0.9994198
1971,Bedknobs and Broomsticks,4,369,396,1238,1281,0.9942325
1971,Shaft,0,225,338,275,423,0.9989612
1971,Sweet Sweetback's Baadasssss Song,0,1439,1481,2081,2143,0.9998179
1971,Sweet Sweetback's Baadasssss Song,1,1508,1638,2390,2590,0.9935887
1971,Sweet Sweetback's Baadasssss Song,2,599,1311,892,1793,0.9887245
1971,Sweet Sweetback's Baadasssss Song,3,968,1080,2416,2580,0.9595362
1971,Sweet Sweetback's Baadasssss Song,4,408,570,2405,2585,0.7953277
1971,Klute,0,665,747,554,668,0.97547805
1971,Escape from the Planet of the Apes,0,646,693,278,338,0.99900204
1971,Escape from the Planet of the Apes,1,494,538,429,491,0.9982988
1971,Escape from the Planet of the Apes,2,600,617,1143,1164,0.9637535
1971,Escape from the Planet of the Apes,3,500,531,563,607,0.9595157
1971,Cold Turkey,0,443,469,730,767,0.92989767
1971,Cold Turkey,1,703,731,938,970,0.9288897
1971,Cold Turkey,2,526,553,757,788,0.88788635
1971,Cold Turkey,3,492,513,720,747,0.8822881
1971,Play Misty for Me,0,529,558,690,729,0.9535738
1971,Play Misty for Me,1,263,283,1524,1549,0.9066555
1971,Play Misty for Me,2,393,412,1216,1243,0.7842401
1971,Play Misty for Me,3,714,736,699,727,0.78399885
1971,Play Misty for Me,4,1002,1025,1007,1033,0.75921947
1971,Bananas,0,419,466,349,408,0.9997515
1971,Bananas,1,255,299,363,422,0.99783236
1971,Bananas,2,145,180,449,497,0.9977852
1971,Bananas,3,303,397,165,297,0.99469286
1971,Bananas,4,511,528,481,504,0.98193455
1971,Bananas,5,590,606,438,455,0.93527484
1971,Bananas,6,486,504,585,606,0.80902624
1971,The Million Dollar Duck,0,725,796,1127,1214,0.99999595
1971,The Million Dollar Duck,1,469,532,1129,1207,0.99997914
1971,The Million Dollar Duck,2,153,240,946,1049,0.99988747
1971,The Million Dollar Duck,3,843,911,1011,1099,0.99984527
1971,The Million Dollar Duck,4,262,338,1111,1208,0.99956673
1971,The Million Dollar Duck,5,688,751,1022,1094,0.9855847
1971,The Anderson Tapes,0,436,489,306,379,0.99952734
1971,The Anderson Tapes,1,605,619,1127,1146,0.9959611
1971,The Anderson Tapes,2,178,229,195,265,0.9750151
1971,The Anderson Tapes,3,778,797,1114,1136,0.97342515
