year,title,path,period
1970,Love Story,thm/1970_love_story.jpg,1970-1974
1970,Airport,thm/1970_airport.jpg,1970-1974
1970,M.A.S.H.,thm/1970_mash.jpg,1970-1974
1970,Patton,thm/1970_patton.jpg,1970-1974
1970,Little Big Man,thm/1970_little_big_man.jpg,1970-1974
1970,Tora! Tora! Tora!,thm/1970_tora_tora_tora.jpg,1970-1974
1970,Joe,thm/1970_joe.jpg,1970-1974
1970,Rio Lobo,thm/1970_rio_lobo.jpg,1970-1974
1970,Myra Breckinridge,thm/1970_myra_breckinridge.jpg,1970-1974
1970,The Boys in the Band,thm/1970_the_boys_in_the_band.jpg,1970-1974
1970,Chisum,thm/1970_chisum.jpg,1970-1974
1970,Darling Lili,thm/1970_darling_lili.jpg,1970-1974
1970,Song of Norway,thm/1970_song_of_norway.jpg,1970-1974
1970,Watermelon Man,thm/1970_watermelon_man.jpg,1970-1974
1970,Trash,thm/1970_trash.jpg,1970-1974
1970,Where's Poppa?,thm/1970_wheres_poppa.jpg,1970-1974
1970,Cromwell,thm/1970_cromwell.jpg,1970-1974
1970,Zabriskie Point,thm/1970_zabriskie_point.jpg,1970-1974
1970,Loving,thm/1970_loving.jpg,1970-1974
1970,Threesome,thm/1970_threesome.jpg,1970-1974
1970,El condor,thm/1970_el_condor.jpg,1970-1974
1971,Billy Jack,thm/1971_billy_jack.jpg,1970-1974
1971,Fiddler on the Roof,thm/1971_fiddler_on_the_roof.jpg,1970-1974
1971,Dirty Harry,thm/1971_dirty_harry.jpg,1970-1974
1971,The Last Picture Show,thm/1971_the_last_picture_show.jpg,1970-1974
1971,Carnal Knowledge,thm/1971_carnal_knowledge.jpg,1970-1974
1971,The Hospital,thm/1971_the_hospital.jpg,1970-1974
1971,Willard,thm/1971_willard.jpg,1970-1974
1971,Bedknobs and Broomsticks,thm/1971_bedknobs_and_broomsticks.jpg,1970-1974
1971,Shaft,thm/1971_shaft.jpg,1970-1974
1971,Sweet Sweetback's Baadasssss Song,thm/1971_sweet_sweetbacks_baadasssss_song.jpg,1970-1974
1971,Klute,thm/1971_klute.jpg,1970-1974
1971,Escape from the Planet of the Apes,thm/1971_escape_from_the_planet_of_the_apes.jpg,1970-1974
1971,Cold Turkey,thm/1971_cold_turkey.jpg,1970-1974
1971,Play Misty for Me,thm/1971_play_misty_for_me.jpg,1970-1974
1971,Bananas,thm/1971_bananas.jpg,1970-1974
1971,The Million Dollar Duck,thm/1971_the_million_dollar_duck.jpg,1970-1974
1971,The Anderson Tapes,thm/1971_the_anderson_tapes.jpg,1970-1974
1971,The Big Doll House,thm/1971_the_big_doll_house.jpg,1970-1974
1971,The Omega Man,thm/1971_the_omega_man.jpg,1970-1974
1971,McCabe & Mrs. Miller,thm/1971_mccabe__mrs_miller.jpg,1970-1974
1971,Big Jake,thm/1971_big_jake.jpg,1970-1974
1971,Lawman,thm/1971_lawman.jpg,1970-1974
1971,Willy Wonka & the Chocolate Factory,thm/1971_willy_wonka__the_chocolate_factory.jpg,1970-1974
1971,THX 1138,thm/1971_thx_.jpg,1970-1974
1971,Honey Britches,thm/1971_honey_britches.jpg,1970-1974
1971,Octaman,thm/1971_octaman.jpg,1970-1974
1971,Doctors' Wives,thm/1971_doctors_wives.jpg,1970-1974
1971,The Last Valley,thm/1971_the_last_valley.jpg,1970-1974
1971,The Statue,thm/1971_the_statue.jpg,1970-1974
1971,Zachariah,thm/1971_zachariah.jpg,1970-1974
1971,Wake in Fright,thm/1971_wake_in_fright.jpg,1970-1974
1971,Pink Narcissus,thm/1971_pink_narcissus.jpg,1970-1974
1971,Santa's Christmas Elf (Named Calvin),thm/1971_santas_christmas_elf_named_calvin.jpg,1970-1974
1971,Grease,thm/1971_grease.jpg,1970-1974
1971,Daughters of Anomaly,thm/1971_daughters_of_anomaly.jpg,1970-1974
1971,Nympho Cycler,thm/1971_nympho_cycler.jpg,1970-1974
1971,Side Street Girls,thm/1971_side_street_girls.jpg,1970-1974
1972,The Godfather,thm/1972_the_godfather.jpg,1970-1974
1972,The Poseidon Adventure,thm/1972_the_poseidon_adventure.jpg,1970-1974
1972,Jeremiah Johnson,thm/1972_jeremiah_johnson.jpg,1970-1974
1972,Cabaret,thm/1972_cabaret.jpg,1970-1974
1972,The Getaway,thm/1972_the_getaway.jpg,1970-1974
1972,Fritz the Cat,thm/1972_fritz_the_cat.jpg,1970-1974
1972,Pete 'n' Tillie,thm/1972_pete_n_tillie.jpg,1970-1974
1972,The Cowboys,thm/1972_the_cowboys.jpg,1970-1974
1972,The Heartbreak Kid,thm/1972_the_heartbreak_kid.jpg,1970-1974
1972,Shaft's Big Score!,thm/1972_shafts_big_score.jpg,1970-1974
1972,Conquest of the Planet of the Apes,thm/1972_conquest_of_the_planet_of_the_apes.jpg,1970-1974
1972,1776,thm/1972_.jpg,1970-1974
1972,Avanti!,thm/1972_avanti.jpg,1970-1974
1972,The Last House on the Left,thm/1972_the_last_house_on_the_left.jpg,1970-1974
1972,Blacula,thm/1972_blacula.jpg,1970-1974
1972,Pink Flamingos,thm/1972_pink_flamingos.jpg,1970-1974
1972,Grease 2,thm/1972_grease_.jpg,1970-1974
1972,Don Quixote,thm/1972_don_quixote.jpg,1970-1974
1972,The Rapture,thm/1972_the_rapture.jpg,1970-1974
1972,The Great Massage Parlor Bust,thm/1972_the_great_massage_parlor_bust.jpg,1970-1974
1972,ALCOA Aluminum,thm/1972_alcoa_aluminum.jpg,1970-1974
1972,Boots and the Preacher,thm/1972_boots_and_the_preacher.jpg,1970-1974
1972,The Great Raft Race!,thm/1972_the_great_raft_race.jpg,1970-1974
